"Marca temporal","Matricula"
"2020/10/17 10:07:40 a.m. GMT-5","2076299"
"2020/10/17 10:08:27 a.m. GMT-5","2076276"
"2020/10/17 10:08:30 a.m. GMT-5","1908295"
"2020/10/17 10:09:30 a.m. GMT-5","1947135"
"2020/10/17 10:11:03 a.m. GMT-5","2076195"
"2020/10/17 10:12:06 a.m. GMT-5","1989927"
"2020/10/17 10:12:10 a.m. GMT-5","1963285"
"2020/10/17 10:16:22 a.m. GMT-5","1956093"
"2020/10/17 10:16:49 a.m. GMT-5","1953892"
"2020/10/17 10:18:50 a.m. GMT-5","1957710"
"2020/10/17 10:24:07 a.m. GMT-5","1906296"
"2020/10/17 10:41:30 a.m. GMT-5","2076304"
"2020/10/17 11:07:37 a.m. GMT-5","1957959"
"2020/10/17 11:14:55 a.m. GMT-5","1978610"
"2020/10/17 11:37:55 a.m. GMT-5","2076240"
